"filename", "language", "JavaScript", "comment", "blank", "total"
"/home/noob/Documents/projects/development/hackerTasksAPI/models/checklist.js", "JavaScript", 12, 7, 6, 25
"/home/noob/Documents/projects/development/hackerTasksAPI/models/checklistDependencies/list.js", "JavaScript", 10, 7, 4, 21
"/home/noob/Documents/projects/development/hackerTasksAPI/models/checklistDependencies/section.js", "JavaScript", 9, 7, 3, 19
"/home/noob/Documents/projects/development/hackerTasksAPI/models/sites.js", "JavaScript", 8, 0, 4, 12
"/home/noob/Documents/projects/development/hackerTasksAPI/models/user.js", "JavaScript", 35, 0, 7, 42
"Total", "-", 74, 21, 24, 119
