"filename", "language", "JavaScript", "comment", "blank", "total"
"/home/noob/Documents/projects/development/hackerTasksAPI/controller/checklist.js", "JavaScript", 12, 8, 4, 24
"/home/noob/Documents/projects/development/hackerTasksAPI/controller/sites.js", "JavaScript", 45, 0, 7, 52
"/home/noob/Documents/projects/development/hackerTasksAPI/controller/user.js", "JavaScript", 63, 0, 13, 76
"Total", "-", 120, 8, 24, 152
